[Line 1] heheh enjoy my tyler...
[Line 3] [Output:5553]: [PART] Workspace.Camera.WindPart | Size: 600, 150, 2
[Line 7028] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7029] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 14, 0.8999999761581421
[Line 7030] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 9.35749626159668, 16.68242645263672, 8.547649383544922
[Line 7031] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7032] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7033] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 7.850133895874023, 0.8999999761581421
[Line 7034] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7035] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7036] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.29637336730957, 0.8999999761581421
[Line 7037] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 9.35749626159668, 16.68242645263672, 8.547649383544922
[Line 7038] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7039] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7040] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 3, 0.8999999761581421
[Line 7041] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 1.8501338958740234, 0.8999999761581421
[Line 7042] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7043] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.29637336730957, 0.8999999761581421
[Line 7044] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7045] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7046] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7047] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7048] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.418801307678223, 0.8999999761581421
[Line 7049] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 7.850133895874023, 0.8999999761581421
[Line 7050] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 9, 0.8999999761581421
[Line 7051] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7052] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 1.8501338958740234, 0.8999999761581421
[Line 7053] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.4188013076782227, 0.8999999761581421
[Line 7054] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7055] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.4188013076782227, 0.8999999761581421
[Line 7056] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.WaterCheck | Size: 1, 0.5, 1
[Line 7057] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.WaterCheck | Size: 1, 0.5, 1
[Line 7058] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Dirt | Size: 6, 0.5, 58
[Line 7059] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.418801307678223, 0.8999999761581421
[Line 7060] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 12.850133895874023, 0.8999999761581421
[Line 7061] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7062] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 14, 0.8999999761581421
[Line 7063] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 9.35749626159668, 20.68242645263672, 9.547649383544922
[Line 7064] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8.29637336730957, 0.8999999761581421
[Line 7065] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7066] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7067] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.418801307678223, 0.8999999761581421
[Line 7068] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 12.850133895874023, 0.8999999761581421
[Line 7069] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 9.35749626159668, 18.68242645263672, 8.547649383544922
[Line 7070] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 9, 0.8999999761581421
[Line 7071] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8.418801307678223, 0.8999999761581421
[Line 7072] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 7.850133895874023, 0.8999999761581421
[Line 7073] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7074] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.2963733673095703, 0.8999999761581421
[Line 7075] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7076] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.418801307678223, 0.8999999761581421
[Line 7077] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.29637336730957, 0.8999999761581421
[Line 7078] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 7.850133895874023, 0.8999999761581421
[Line 7079] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8.418801307678223, 0.8999999761581421
[Line 7080] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 9, 0.8999999761581421
[Line 7081] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7082] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.4188013076782227, 0.8999999761581421
[Line 7083] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7084] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 12.850133895874023, 0.8999999761581421
[Line 7085] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8.29637336730957, 0.8999999761581421
[Line 7086] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7087] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.2963733673095703, 0.8999999761581421
[Line 7088] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 12.850133895874023, 0.8999999761581421
[Line 7089] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 14, 0.8999999761581421
[Line 7090] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7091] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8.418801307678223, 0.8999999761581421
[Line 7092] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7093] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7094] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 9.35749626159668, 12.682426452636719, 8.547649383544922
[Line 7095] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7096] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8.29637336730957, 0.8999999761581421
[Line 7097] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 7.850133895874023, 0.8999999761581421
[Line 7098] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7099] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 1.8501338958740234, 0.8999999761581421
[Line 7100] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.4188013076782227, 0.8999999761581421
[Line 7101] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.2963733673095703, 0.8999999761581421
[Line 7102] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 14, 0.8999999761581421
[Line 7103] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.29637336730957, 0.8999999761581421
[Line 7104] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7105] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 7.850133895874023, 0.8999999761581421
[Line 7106] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7107] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7108] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 1.8501338958740234, 0.8999999761581421
[Line 7109] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.2963733673095703, 0.8999999761581421
[Line 7110] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.WaterCheck | Size: 1, 0.5, 1
[Line 7111] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.WaterCheck | Size: 1, 0.5, 1
[Line 7112] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.4188013076782227, 0.8999999761581421
[Line 7113] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.418801307678223, 0.8999999761581421
[Line 7114] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7115] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 14, 0.8999999761581421
[Line 7116] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.29637336730957, 0.8999999761581421
[Line 7117] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7118] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7119] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7120] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7121] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.418801307678223, 0.8999999761581421
[Line 7122] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 9.35749626159668, 16.68242645263672, 8.547649383544922
[Line 7123] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8.29637336730957, 0.8999999761581421
[Line 7124] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.2963733673095703, 0.8999999761581421
[Line 7125] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7126] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7127] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7128] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7129] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 7.850133895874023, 0.8999999761581421
[Line 7130] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 9, 0.8999999761581421
[Line 7131] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.4188013076782227, 0.8999999761581421
[Line 7132] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 1.8501338958740234, 0.8999999761581421
[Line 7133] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7134] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 14, 0.8999999761581421
[Line 7135] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 12.850133895874023, 0.8999999761581421
[Line 7136] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8.418801307678223, 0.8999999761581421
[Line 7137] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 7.850133895874023, 0.8999999761581421
[Line 7138] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 3, 0.8999999761581421
[Line 7139] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 14, 0.8999999761581421
[Line 7140] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7141] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7142] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 3, 0.8999999761581421
[Line 7143] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 1.8501338958740234, 0.8999999761581421
[Line 7144] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.4188013076782227, 0.8999999761581421
[Line 7145] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.418801307678223, 0.8999999761581421
[Line 7146] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7147] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 14, 0.8999999761581421
[Line 7148] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 9.35749626159668, 20.68242645263672, 9.547649383544922
[Line 7149] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7150] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8.418801307678223, 0.8999999761581421
[Line 7151] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7152] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8.29637336730957, 0.8999999761581421
[Line 7153] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.2963733673095703, 0.8999999761581421
[Line 7154] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7155] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.418801307678223, 0.8999999761581421
[Line 7156] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 12.850133895874023, 0.8999999761581421
[Line 7157] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 14, 0.8999999761581421
[Line 7158] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8.418801307678223, 0.8999999761581421
[Line 7159] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 7.850133895874023, 0.8999999761581421
[Line 7160] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 1.8501338958740234, 0.8999999761581421
[Line 7161] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.WaterCheck | Size: 1, 0.5, 1
[Line 7162] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7163] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 14, 0.8999999761581421
[Line 7164] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7165] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 9, 0.8999999761581421
[Line 7166] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 3, 0.8999999761581421
[Line 7167] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.2963733673095703, 0.8999999761581421
[Line 7168] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.418801307678223, 0.8999999761581421
[Line 7169] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 14, 0.8999999761581421
[Line 7170] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 1.8501338958740234, 0.8999999761581421
[Line 7171] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7172] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 3, 0.8999999761581421
[Line 7173] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7174] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 14, 0.8999999761581421
[Line 7175] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13.29637336730957, 0.8999999761581421
[Line 7176] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage2 | Size: 0.800000011920929, 8, 0.8999999761581421
[Line 7177] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7178] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 0.800000011920929, 13, 0.8999999761581421
[Line 7179] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage3 | Size: 9.35749626159668, 16.68242645263672, 8.547649383544922
[Line 7180] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7181] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2.2963733673095703, 0.8999999761581421
[Line 7182] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 3, 0.8999999761581421
[Line 7183] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 1.8501338958740234, 0.8999999761581421
[Line 7184] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
[Line 7185] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 1.8501338958740234, 0.8999999761581421
[Line 7186] [Output:5553]: [PART] Workspace.Map.Lone Rock.ClanStructures.Sugarcane Row.Crop.Stage1 | Size: 0.800000011920929, 2, 0.8999999761581421
