[Line 385] [Output:5553]: [PART] Workspace.Map.IslandCloud.Fragmentable.Tallgrass.TallGrass | Size: 42, 3, 88
[Line 52678] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 20, 3, 1
[Line 52679] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 39.9997444152832, 7, 1
[Line 52680] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 60, 2, 2
[Line 52681] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 20, 1, 1
[Line 52682] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 2.5, 1, 1
[Line 52683] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 20, 1, 1
[Line 52684] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 19.999950408935547, 7, 1
[Line 52685] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 19.787675857543945, 7, 1
[Line 52686] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 16, 21.5, 1
[Line 52687] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Grate | Size: 8.000030517578125, 8.000015258789062, 0.6000003814697266
[Line 52688] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 17.971153259277344, 4.885505676269531, 1
[Line 52689] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 11, 3, 3
[Line 52690] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 53.5, 0.5, 12
[Line 52691] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 18.803417205810547, 7, 1
[Line 52692] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 19.269302368164062, 7, 1
[Line 52693] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 42, 0.5, 1.2000000476837158
[Line 52694] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 41, 0.5, 1.2000000476837158
[Line 52695] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 31, 0.5, 1.2000000476837158
[Line 52696] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1.2000000476837158, 0.800000011920929
[Line 52697] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52698] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52699] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52700] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52701] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52702] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52703] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52704] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52705] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52706] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52707] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52708] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52709] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52710] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52711] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52712] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52713] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52714] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52715] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52716] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52717] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 40, 0.5, 1
[Line 52718] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 20, 0.5, 1
[Line 52719] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 20, 0.5, 1
[Line 52720] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 18.27136993408203, 7, 1
[Line 52721] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 20.338512420654297, 7, 1
[Line 52722] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 39.89421844482422, 7, 1
[Line 52723] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 1.7230218648910522, 17.401838302612305
[Line 52724] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 0.41933897137641907, 1.7655256986618042
[Line 52725] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 1.8740689754486084, 17.350255966186523
[Line 52726] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 8.395751953125, 2.5522375106811523
[Line 52727] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 7.000033855438232, 5.291713714599609
[Line 52728] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 0.410290002822876, 4.174539566040039
[Line 52729] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 0.8082001805305481, 7, 1
[Line 52730] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 14.236639022827148, 7, 1
[Line 52731] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 8.41379165649414, 7, 1
[Line 52732] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 19.269302368164062, 7, 1
[Line 52733] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 19.839757919311523, 7, 1
[Line 52734] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 20.000123977661133, 7, 1
[Line 52735] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1, 7, 20
[Line 52736] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 39.89421844482422, 7, 1
[Line 52737] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 36.59796142578125, 6.6330342292785645, 1
[Line 52738] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 20, 1, 1
[Line 52739] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 20, 1, 1
[Line 52740] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 40, 3, 1
[Line 52741] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 6.245444297790527, 15.015725135803223
[Line 52742] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1.2000000476837158, 0.800000011920929
[Line 52743] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52744] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52745] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52746] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52747] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52748] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52749] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52750] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52751] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52752] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52753] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52754] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52755] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52756] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52757] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52758] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52759] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52760] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52761] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52762] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52763] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52764] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 1.5, 1, 0.800000011920929
[Line 52765] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 20, 0.5, 1
[Line 52766] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 11.199999809265137, 0.5, 1
[Line 52767] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 7.00001335144043, 4.750528335571289
[Line 52768] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 7, 1.7865793704986572
[Line 52769] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 20.338512420654297, 7, 1
[Line 52770] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 1.7230218648910522, 0.5693187117576599
[Line 52771] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 1.7230218648910522, 17.401838302612305
[Line 52772] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 0.41933897137641907, 1.7655256986618042
[Line 52773] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 3.0114004611968994, 17.350255966186523
[Line 52774] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 0.05000000074505806, 0.5137090682983398
[Line 52775] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 7.000033855438232, 5.291713714599609
[Line 52776] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 0.410290002822876, 4.760570526123047
[Line 52777] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Wedge | Size: 1, 7.000002384185791, 2.7865793704986572
[Line 52778] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 0.8082001805305481, 7, 1
[Line 52779] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Ship.Part | Size: 14.236639022827148, 7, 1
[Line 52780] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Oyster.OpenPos | Size: 7.948479652404785, 1.7795010805130005, 6.83473014831543
[Line 52781] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Oyster.Bottom | Size: 7.948479652404785, 1.7795010805130005, 6.83473014831543
[Line 52782] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Oyster.Trigger | Size: 15, 15, 15
[Line 52783] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Oyster.OpenPos | Size: 7.948479652404785, 1.7795010805130005, 6.83473014831543
[Line 52784] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.2 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52785] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.3 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52786] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Torus | Size: 12.261942863464355, 15.465018272399902, 11.617385864257812
[Line 52787] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Collision | Size: 13, 13, 13
[Line 52788] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.4 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52789] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Sphere | Size: 15.657075881958008, 8.839057922363281, 16.682973861694336
[Line 52790] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.2 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52791] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.3 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52792] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.1 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52793] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Torus | Size: 12.261942863464355, 15.465018272399902, 11.617385864257812
[Line 52794] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Collision | Size: 13, 13, 13
[Line 52795] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.4 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52796] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.5 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52797] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Torus | Size: 12.261942863464355, 15.465018272399902, 11.617385864257812
[Line 52798] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.3 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52799] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.1 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52800] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Hitbox | Size: 21, 13, 13
[Line 52801] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Collision | Size: 13, 13, 13
[Line 52802] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.1 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52803] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Torus | Size: 12.261942863464355, 15.465018272399902, 11.617385864257812
[Line 52804] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.3 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52805] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.1 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52806] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Torus | Size: 12.261942863464355, 15.465018272399902, 11.617385864257812
[Line 52807] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.2 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52808] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.1 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52809] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.2 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52810] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.4 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52811] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.5 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52812] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.1 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52813] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Torus | Size: 12.261942863464355, 15.465018272399902, 11.617385864257812
[Line 52814] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Collision | Size: 13, 13, 13
[Line 52815] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.2 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52816] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.4 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52817] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Sphere | Size: 15.657075881958008, 8.839057922363281, 16.682973861694336
[Line 52818] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Hitbox | Size: 21, 13, 13
[Line 52819] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.2 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52820] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.4 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52821] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.1 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52822] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Hitbox | Size: 21, 13, 13
[Line 52823] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.2 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52824] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.4 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52825] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Sphere | Size: 15.657075881958008, 8.839057922363281, 16.682973861694336
[Line 52826] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Collision | Size: 13, 13, 13
[Line 52827] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.2 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52828] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.3 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52829] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.5 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52830] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.1 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52831] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Torus | Size: 12.261942863464355, 15.465018272399902, 11.617385864257812
[Line 52832] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Collision | Size: 13, 13, 13
[Line 52833] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.2 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52834] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.4 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52835] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Parts.5 | Size: 3.3717293739318848, 3.3717293739318848, 3.3717293739318848
[Line 52836] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Sphere | Size: 15.657075881958008, 8.839057922363281, 16.682973861694336
[Line 52837] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Torus | Size: 12.261942863464355, 15.465018272399902, 11.617385864257812
[Line 52838] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Jellyfish.Collision | Size: 13, 13, 13
[Line 52839] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Part | Size: 109, 13, 128
[Line 52840] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Part | Size: 64, 7, 102
[Line 52841] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Part | Size: 32, 18, 48
[Line 52842] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Part | Size: 69, 1, 77
[Line 52843] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Part | Size: 1, 29, 31
[Line 52844] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Part | Size: 1, 16, 39
[Line 52845] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Part | Size: 77, 96, 48
[Line 52846] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Part | Size: 1, 29, 23
[Line 52847] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Part | Size: 1, 29, 21
[Line 52848] [Output:5553]: [PART] ReplicatedStorage.RS.UnloadIslands.UWStrucs.Details.Part | Size: 51, 1, 101
